,title,href,points,by,hours ago,comments
227,AVX Bitwise ternary logic instruction busted,https://arnaud-carre.github.io/2024-10-06-vpternlogd/,317,msephton,4,66
228,"Hello, Perceptron (2023)",https://matt.might.net/articles/hello-perceptron/,34,KnuthIsGod,2,2
229,Show HN: Instant HTML Preview Bookmarklet,https://gist.github.com/rmtbb/e42d870a59a7f98091e734674831072b,128,somefries,4,38
230,Show HN: Offline audiobook from any format with one CLI command,https://github.com/C-Loftus/QuickPiperAudiobook,102,C-Loftus,4,41
231,Ask HN: Do you track how your email address is used?,item?id=41801594,13,themingus,17,18
232,tylerrussell.dev,from?site=tylerrussell.dev,32,ned_at_codomain,2,7
233,theregister.com,from?site=theregister.com,14,pseudolus,10,2
234,utcc.utoronto.ca,from?site=utcc.utoronto.ca,85,ingve,2,58
235,bleepingcomputer.com,from?site=bleepingcomputer.com,36,zerojames,1,7
236,overclock3d.net,from?site=overclock3d.net,4,doener,14,discuss
237,Canvases versus Documents,https://kaiwenwang.com/writing/canvases-versus-documents,86,todsacerdoti,2,19
238,Homemade AI drone software finds people when search and rescue teams can't,https://www.wired.com/story/this-homemade-ai-drone-software-finds-bodies-when-search-and-rescue-teams-cant/,252,sohkamyung,4,140
239,On the Nature of Time,https://writings.stephenwolfram.com/2024/10/on-the-nature-of-time/,350,iamwil,2,258
240,"Show HN: I made a free (open-source) extension, to use any LLM on Google sheet",https://www.aisheeter.com/,14,tuantruong,2,6
